Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2006);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
102;21100416021;"Proceedings - International Conference on Coordinated and Multiple Views in Exploratory Visualization, CMV 2003, Associated and co-located with International Conference on Information Visualization, IV 2003";conference and proceedings;"-";0,256;-;8;0;14;0;22;13;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Vision and Pattern Recognition; Signal Processing"
103;145544;"Journal of Semantics";journal;"01675133, 14774593";0,248;Q3;43;11;43;601;31;41;0,66;54,64;United Kingdom;Western Europe;"Oxford University Press";"1982-1986, 1990-2021";"Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2); Artificial Intelligence (Q3)"
104;23617;"AI Communications";journal;"09217126";0,247;Q3;40;27;81;842;80;77;0,96;31,19;Netherlands;Western Europe;"IOS Press BV";"1987-2021";"Artificial Intelligence (Q3)"
105;21100255369;"Proceedings of the 1st Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE 2005";conference and proceedings;"-";0,243;-;11;0;32;0;40;30;1,25;0,00;United States;Northern America;"";"";"Artificial Intelligence; Visual Arts and Performing Arts"
106;21100420105;"Proceedings - IEEE/WIC International Conference on Web Intelligence, WI 2003";conference and proceedings;"-";0,242;-;18;0;128;0;131;127;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Signal Processing"
107;21100201739;"ISMB 2005 Proceedings - 13th International Conference on Intelligent Systems for Molecular Biology";conference and proceedings;"-";0,239;-;2;0;5;0;0;3;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Biochemistry, Genetics and Molecular Biology (miscellaneous); Information Systems"
108;144690;"Proceedings - IEEE International Workshop on Robot and Human Interactive Communication";conference and proceedings;"-";0,233;-;59;133;311;2437;335;306;1,09;18,32;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
109;21100416604;"Structural Health Monitoring 2003: From Diagnostics and Prognostics to Structural Health Management - Proceedings of the 4th International Workshop on Structural Health Monitoring, IWSHM 2003";conference and proceedings;"-";0,233;-;17;0;186;0;106;184;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Information Systems; Software"
110;144601;"AAAI Spring Symposium - Technical Report";conference and proceedings;"-";0,232;-;44;189;328;2567;177;312;0,54;13,58;United States;Northern America;"";"";"Artificial Intelligence"
111;21100416608;"Proceedings - 3rd International Conference on WEB Delivering of Music, WEDELMUSIC 2003";conference and proceedings;"-";0,229;-;8;0;28;0;22;27;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence"
112;11200153531;"Foundations of Artificial Intelligence";book series;"15746526";0,227;Q3;21;29;22;2416;10;0;0,45;83,31;Netherlands;Western Europe;"Elsevier";"2005-2006, 2008";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Theoretical Computer Science (Q4)"
113;18197;"Integrated Computer-Aided Engineering";journal;"10692509, 18758835";0,226;Q3;45;26;90;687;50;85;0,41;26,42;Netherlands;Western Europe;"IOS Press BV";"1993-2021";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)"
114;24357;"Journal of Experimental and Theoretical Artificial Intelligence";journal;"13623079, 0952813X";0,225;Q3;45;27;67;780;44;66;0,71;28,89;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2021";"Artificial Intelligence (Q3); Software (Q3); Theoretical Computer Science (Q4)"
115;145117;"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI";conference and proceedings;"10823409";0,220;-;42;111;241;1744;160;238;0,66;15,71;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Software"
116;12981;"Kybernetes";journal;"0368492X";0,217;Q3;43;133;451;2615;148;435;0,31;19,66;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1972-2021";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Social Sciences (miscellaneous) (Q3); Software (Q3); Theoretical Computer Science (Q4)"
117;21100291854;"International IEEE/EMBS Conference on Neural Engineering, NER";conference and proceedings;"19483546";0,216;-;26;0;174;0;88;173;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Mechanical Engineering"
118;21100241770;"Proceedings - 2003 IEEE Symposium on Human Centric Computing Languages and Environments, HCC 2003";conference and proceedings;"-";0,215;-;11;0;62;0;51;61;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering"
119;15109;"IEICE Transactions on Information and Systems";journal;"17451361, 09168532";0,214;Q3;50;355;1048;6209;575;1010;0,54;17,49;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2021";"Artificial Intelligence (Q3); Electrical and Electronic Engineering (Q3); Hardware and Architecture (Q3); Software (Q3); Computer Vision and Pattern Recognition (Q4)"
120;20600195646;"IEEE International Conference on Computational Intelligence for Measurement Systems and Applications Proceedings";conference and proceedings;"21591555";0,211;-;11;0;43;0;14;42;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering"
121;144749;"International Journal of Advanced Robotic Systems";journal;"17298806";0,210;Q3;51;52;81;837;62;77;0,77;16,10;United States;Northern America;"SAGE Publications Inc.";"2004-2021";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3)"
122;13880;"Artificial Intelligence and Law";journal;"09248463, 15728382";0,203;Q3;41;16;38;582;22;37;0,42;36,38;Netherlands;Western Europe;"Springer Netherlands";"1992-1993, 1995-2021";"Law (Q2); Artificial Intelligence (Q3)"
123;21100199714;"Proceedings of the Symposium on Conversational Informatics for Supporting Social Intelligence and Interaction: Situational and Environmental Information Enforcing Involvement in Conversation";conference and proceedings;"-";0,202;-;5;0;23;0;13;20;0,57;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Information Systems; Social Sciences (miscellaneous)"
124;20000195030;"IEEE 2005 Symposium on Computational Intelligence and Games, CIG'05";conference and proceedings;"-";0,200;-;11;0;42;0;34;40;0,81;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
125;25476;"Intelligent Automation and Soft Computing";journal;"10798587, 2326005X";0,198;Q3;28;37;76;581;28;72;0,39;15,70;United States;Northern America;"Tech Science Press";"1995-2022";"Artificial Intelligence (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)"
126;21100286336;"19th Workshop on (Constraint) Logic Programming, W(C)LP 2005";conference and proceedings;"-";0,196;-;4;0;18;0;7;15;0,39;0,00;Germany;Western Europe;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Hardware and Architecture; Software; Theoretical Computer Science"
127;21100810699;"41st AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit";conference and proceedings;"-";0,196;-;1;0;1;0;1;1;1,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Signal Processing"
128;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";0,191;Q3;44;53;78;1070;36;77;0,46;20,19;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2021";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Information Systems (Q3); Atomic and Molecular Physics, and Optics (Q4)"
129;21100255064;"Mendel";journal;"18033814";0,190;-;13;37;39;402;16;38;0,41;10,86;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2021";"Computer Science (miscellaneous) (Q3); Computational Mathematics (Q4); Theoretical Computer Science (Q4)"
130;21100204931;"Sistemi Intelligenti";journal;"11209550, 19738226";0,188;Q4;7;58;103;616;11;97;0,14;10,62;Italy;Western Europe;"Il Mulino publishing house";"1997-2021";"Linguistics and Language (Q2); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
131;23917;"Journal of Intelligent and Fuzzy Systems";journal;"18758967, 10641246";0,187;Q4;64;53;87;1239;44;84;0,58;23,38;Netherlands;Western Europe;"IOS Press BV";"1993-2021";"Engineering (miscellaneous) (Q2); Artificial Intelligence (Q4); Statistics and Probability (Q4)"
132;21100199760;"AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proceedings of the Symposium on Robot Companions: Hard Problems and Open Challenges in Robot-Human Interaction";conference and proceedings;"-";0,185;-;9;0;21;0;23;20;1,10;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction"
133;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";0,185;-;82;0;1164;0;535;1152;0,41;0,00;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993, 1999-2003, 2005, 2008-2020";"Artificial Intelligence; Software"
134;21100797240;"ASEE Annual Conference and Exposition, Conference Proceedings";conference and proceedings;"21535965";0,184;-;37;1454;1278;15986;407;1278;0,32;10,99;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems; Software"
135;21100447126;"CARPE 2005 - Proceedings of the 2nd ACM Workshop on Continuous Archival and Retrieval of Personal Experiences, co-located with ACM Multimedia 2005";conference and proceedings;"-";0,183;-;5;0;10;0;13;8;1,30;0,00;United States;Northern America;"";"";"Energy Engineering and Power Technology; Mechanical Engineering"
136;79015;"Kongzhi yu Juece/Control and Decision";journal;"10010920";0,181;Q4;45;310;708;3486;256;708;0,34;11,25;China;Asiatic Region;"Northeast University";"1997-2021";"Control and Systems Engineering (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Software (Q4)"
137;19700182681;"Proceedings - IEEE/WIC International Conference on Intelligent Agent Technology, IAT'03";conference and proceedings;"-";0,181;-;15;0;110;0;70;108;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence"
138;79774;"Proceedings of the International Conference on Machine Learning; Models, Technologies and Applications";conference and proceedings;"-";0,177;-;7;0;47;0;22;46;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence"
139;4700152645;"International Journal on Artificial Intelligence Tools";journal;"02182130";0,175;Q4;33;61;56;1521;22;53;0,39;24,93;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2005-2021";"Artificial Intelligence (Q4)"
140;12409;"Multidimensional Systems and Signal Processing";journal;"15730824, 09236082";0,175;Q4;41;21;61;398;43;53;0,78;18,95;Netherlands;Western Europe;"Springer Netherlands";"1990-2021";"Signal Processing (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Science Applications (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Software (Q4)"
141;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";0,173;-;128;1468;1680;23727;774;1593;0,49;16,16;United States;Northern America;"Association for Computing Machinery (ACM)";"1996-1997, 1999-2021";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software"
142;25482;"International Journal of Robotics and Automation";journal;"19257090, 08268185";0,170;Q4;26;33;74;686;37;73;0,65;20,79;Canada;Northern America;"ACTA Press";"1995-2021";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4)"
143;21100199730;"AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proceedings of the 3rd International Symposium on Imitation in Animals and Artifacts";conference and proceedings;"-";0,169;-;6;0;19;0;21;17;1,11;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction"
144;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";0,169;Q4;36;52;163;1404;73;158;0,54;27,00;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2021";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Software (Q4); Theoretical Computer Science (Q4)"
145;21100416602;"Proceedings - 5th International Conference on Computational Intelligence and Multimedia Applications, ICCIMA 2003";conference and proceedings;"-";0,169;-;14;0;81;0;58;80;0,00;0,00;United States;Northern America;"";"";"Engineering (miscellaneous)"
146;21100777496;"Numerical Models in Geomechanics - 9th Proceedings of the International Symposium on Numerical Models in Geomechanics, NUMOG 2004";conference and proceedings;"-";0,167;-;7;0;84;0;17;82;0,20;0,00;United States;Northern America;"";"";"Applied Mathematics; Artificial Intelligence"
147;12358;"International Journal of Fuzzy Systems";journal;"15622479, 21993211";0,166;Q4;47;25;48;525;18;47;0,38;21,00;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2021";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Software (Q4); Theoretical Computer Science (Q4)"
148;21100203923;"CoNLL 2005 - Proceedings of the Ninth Conference on Computational Natural Language Learning";conference and proceedings;"-";0,163;-;12;0;19;0;51;18;2,68;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction; Linguistics and Language"
149;50103;"Proceedings of the IASTED International Conference on Intelligent Systems and Control";conference and proceedings;"10258973";0,163;-;9;37;168;461;37;166;0,25;12,46;Canada;Northern America;"ACTA Press";"2003-2004, 2006, 2008-2009, 2011, 2018";"Artificial Intelligence; Control and Systems Engineering; Modeling and Simulation; Software; Theoretical Computer Science"
150;21100496409;"29th International Cosmic Ray Conference, ICRC 2005";conference and proceedings;"-";0,158;-;8;0;112;0;21;110;0,19;0,00;India;Asiatic Region;"";"";"Artificial Intelligence; Human-Computer Interaction; Software"
151;21100403115;"Proceedings - 2nd Canadian Conference on Computer and Robot Vision, CRV 2005";conference and proceedings;"-";0,158;-;15;0;82;0;53;79;0,65;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Information Systems"
152;21100286306;"ECCOMAS 2004 - European Congress on Computational Methods in Applied Sciences and Engineering";conference and proceedings;"-";0,156;-;18;0;803;0;189;802;0,24;0,00;Finland;Western Europe;"";"";"Applied Mathematics; Artificial Intelligence"
153;21100415533;"Proceedings - 5th International Workshop on Enterprise Networking and Computing in Healthcare Industry, HealthCom 2003";conference and proceedings;"-";0,155;-;8;0;25;0;19;24;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering; Electrical and Electronic Engineering; Human-Computer Interaction"
154;24847;"Revue d'Intelligence Artificielle";journal;"0992499X";0,154;Q4;15;28;141;820;38;136;0,40;29,29;France;Western Europe;"Lavoisier";"1995-2021";"Artificial Intelligence (Q4); Software (Q4)"
155;4900152703;"Springer Tracts in Advanced Robotics";book series;"16107438, 1610742X";0,153;Q4;50;275;242;3400;60;204;0,25;12,36;Germany;Western Europe;"Springer Verlag";"2004-2021";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4)"
156;21100199799;"AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proceedings of the Symposium on Normative Multi-Agent Systems";conference and proceedings;"-";0,148;-;5;0;18;0;10;14;0,56;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction; Information Systems"
157;19700182707;"Virtual Modelling and Rapid Manufacturing - Advanced Research in Virtual and Rapid Prototyping";conference and proceedings;"-";0,148;-;8;0;97;0;18;95;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Industrial and Manufacturing Engineering; Software"
158;21100199759;"AISB'05 Convention:Proceedings of the Socially Inspired Computing Joint Symposium: Memetic Theory in Artificial Systems and Societies Emerging Artificial Societies Engineering with Social Metaphors";conference and proceedings;"-";0,147;-;5;0;28;0;15;23;0,54;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Computer Science Applications; Human-Computer Interaction"
159;21100293202;"Proceedings of the European Conference on Games-based Learning";conference and proceedings;"20490992";0,147;-;15;48;67;753;9;65;0,13;15,69;Germany;Western Europe;"";"";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Control and Systems Engineering; Education; E-learning; Human-Computer Interaction; Software"
160;21100228121;"Belgian/Netherlands Artificial Intelligence Conference";conference and proceedings;"15687805";0,144;-;14;97;92;738;25;90;0,27;7,61;Netherlands;Western Europe;"";"";"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Human-Computer Interaction"
161;21100216911;"International Conference Recent Advances in Natural Language Processing, RANLP";conference and proceedings;"13138502";0,140;-;30;86;102;1777;59;101;0,58;20,66;United States;Northern America;"Association for Computational Linguistics (ACL)";"2005-2009, 2011, 2013, 2015, 2017, 2019";"Artificial Intelligence; Computer Science Applications; Electrical and Electronic Engineering; Software"
162;79351;"International Conference on Machine Learning and Cybernetics";conference and proceedings;"-";0,139;-;22;0;660;0;239;655;0,00;0,00;China;Asiatic Region;"";"";"Artificial Intelligence"
163;21100415527;"SMCia 2003 - Proceedings of the 2003 IEEE International Workshop on Soft Computing in Industrial Applications";conference and proceedings;"-";0,138;-;7;0;31;0;16;30;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications; Health Informatics; Software"
164;6700153285;"International Journal of Mobile Network Design and Innovation";journal;"17442869, 17442850";0,135;Q4;11;21;11;353;5;11;0,45;16,81;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2007, 2009-2020";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Management Information Systems (Q4); Software (Q4)"
165;24805;"Neural, Parallel and Scientific Computations (discontinued)";journal;"10615369";0,135;Q4;12;31;67;591;16;66;0,24;19,06;United States;Northern America;"Dynamic Publishers";"2004-2016";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4); Theoretical Computer Science (Q4)"
166;21100196310;"Proceedings of the 2005 Australasian Conference on Robotics and Automation, ACRA 2005";conference and proceedings;"-";0,135;-;12;0;53;0;30;51;0,57;0,00;Australia;Pacific Region;"";"";"Artificial Intelligence; Control and Systems Engineering"
167;21100216327;"ICEIS 2001 - Proceedings of the 3rd International Conference on Enterprise Information Systems";conference and proceedings;"-";0,134;-;15;0;172;0;46;170;0,00;0,00;Portugal;Western Europe;"";"";"Information Systems"
168;12237;"Complexity International";journal;"13200682";0,133;Q4;16;0;39;0;7;39;0,18;0,00;Australia;Pacific Region;"Charles Sturt University";"1996-1998, 2000, 2002, 2004-2005, 2008";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4)"
169;21100419247;"NLP-KE 2003 - 2003 International Conference on Natural Language Processing and Knowledge Engineering, Proceedings";conference and proceedings;"-";0,133;-;12;0;136;0;50;133;0,00;0,00;United States;Northern America;"";"";"Engineering (miscellaneous)"
170;21100242252;"9th International Workshop on Immersive Projection Technology - 11th Eurographics Symposium on Virtual Environments, IPT/EGVE 2005";conference and proceedings;"-";0,132;-;8;0;31;0;29;29;0,94;0,00;United States;Northern America;"";"";"Artificial Intelligence; Human-Computer Interaction"
171;21100422035;"Proceedings - 2003 International Conference on Cyberworlds, CW 2003";conference and proceedings;"-";0,132;-;9;0;70;0;28;69;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Hardware and Architecture; Software"
172;21100415530;"VECIMS 2003 - 2003 International Symposium on Virtual Environments, Human-Computer Interfaces and Measurement Systems";conference and proceedings;"-";0,131;-;7;0;38;0;12;37;0,00;0,00;United States;Northern America;"";"";"Biomaterials; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Materials Science (miscellaneous); Surfaces, Coatings and Films"
173;21100241675;"6th International Conference on Intelligent Games and Simulation, GAME-ON 2005";conference and proceedings;"-";0,130;-;3;0;19;0;6;17;0,32;0,00;Belgium;Western Europe;"";"";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software"
174;27190;"Machine Translation";journal;"09226567, 15730573";0,129;Q4;31;11;24;426;7;23;0,35;38,73;Netherlands;Western Europe;"Springer Netherlands";"1989-2021";"Linguistics and Language (Q3); Artificial Intelligence (Q4); Software (Q4)"
175;56380;"IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)";conference and proceedings;"-";0,128;-;17;0;59;0;24;58;0,00;0,00;United States;Northern America;"";"";"Applied Mathematics; Artificial Intelligence; Computer Science Applications; Finance; Software"
176;110747;"Proceedings of the International Conference on Artificial Intelligence IC-AI 2003";conference and proceedings;"-";0,128;-;7;0;162;0;29;160;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence"
177;21100416605;"Proceedings - 2nd IEEE International Conference on Cognitive Informatics, ICCI 2003";conference and proceedings;"-";0,127;-;10;0;30;0;24;29;0,00;0,00;United States;Northern America;"";"";"Computer Networks and Communications; Computer Science Applications"
178;15900154732;"Proceedings of the 2005 International Conference on Embedded Systems and Applications, ESA'05";conference and proceedings;"-";0,127;-;5;0;40;0;12;38;0,30;0,00;United States;Northern America;"";"";"Artificial Intelligence; Control and Systems Engineering; Hardware and Architecture"
179;110748;"Proceedings of the International Conference on Artificial Intelligence, IC-AI'04";conference and proceedings;"-";0,125;-;14;0;333;0;73;328;0,22;0,00;United States;Northern America;"";"2004-2005";"Engineering (miscellaneous)"
180;12962;"Journal of Intelligent Systems";journal;"03341860, 2191026X";0,123;Q4;21;17;32;567;9;30;0,28;33,35;Germany;Western Europe;"Walter de Gruyter GmbH";"1991-2002, 2004-2021";"Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4)"
181;21100775540;"2003 International Semiconductor Device Research Symposium, ISDRS 2003 - Proceedings";conference and proceedings;"-";0,122;-;0;0;1;0;0;1;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Networks and Communications; Human-Computer Interaction; Information Systems; Information Systems and Management"
182;21100369426;"Advances in Computer Vision and Pattern Recognition";book series;"21916594, 21916586";0,122;Q4;20;0;1;0;0;1;0,00;0,00;United States;Northern America;"Springer Science + Business Media";"2005, 2014-2015, 2017-2021";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Signal Processing (Q4); Software (Q4)"
183;21100669912;"Proceedings - IEEE Workshop on Motion and Video Computing, MOTION 2005";conference and proceedings;"-";0,122;-;1;0;1;0;0;1;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications"
184;21100669806;"Proceedings - Seventh IEEE Workshop on Applications of Computer Vision, WACV 2005";conference and proceedings;"-";0,122;-;1;0;1;0;0;1;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Vision and Pattern Recognition; Theoretical Computer Science"
185;21100783334;"RISSP 2003";conference and proceedings;"-";0,122;-;1;0;1;0;1;1;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Information Systems; Software"
186;21100419242;"ISAPE 2003 - 2003 6th International Symposium on Antennas, Propagation and EM Theory, Proceedings";conference and proceedings;"-";0,121;-;9;0;213;0;23;210;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Software"
187;23616;"AI and Society";journal;"09515666, 14355655";0,120;Q4;33;38;93;779;25;86;0,31;20,50;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2021";"Philosophy (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4)"
188;21100199749;"AISB'05 Convention: Proceedings of the Symposium on Next Generation Approaches to Machine Consciousness: Imagination, Development, Intersubjectivity and Embodiment";conference and proceedings;"-";0,119;-;6;0;17;0;9;14;0,53;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction"
189;18056;"Jiqiren/Robot";journal;"10020446";0,119;Q4;27;118;298;1113;75;298;0,26;9,43;China;Asiatic Region;"Chinese Academy of Sciences";"1998, 2001-2021";"Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4); Modeling and Simulation (Q4); Software (Q4)"
190;21100416196;"ROSE 2003 - 1st IEEE International Workshop on Robotic Sensing 2003: Sensing and Perception in 21st Century Robotics";conference and proceedings;"-";0,119;-;5;0;11;0;4;10;0,00;0,00;United States;Northern America;"";"";"Electrical and Electronic Engineering"
191;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";0,118;Q4;32;12;26;277;5;26;0,19;23,08;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2021";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems and Management (Q4); Mathematics (miscellaneous) (Q4)"
192;24811;"OGAI Journal (Oesterreichische Gesellschaft fuer Artificial Intelligence)";journal;"02544326";0,118;Q4;8;18;87;178;7;48;0,13;9,89;Austria;Western Europe;"Austrian Society for Artificial Intelligency";"1987, 1989, 2001-2009";"Artificial Intelligence (Q4); Software (Q4)"
193;145264;"Transactions of the Japanese Society for Artificial Intelligence";journal;"13460714";0,118;Q4;17;50;142;908;18;142;0,16;18,16;Japan;Asiatic Region;"Japanese Society for Artificial Intelligence";"2001-2021";"Artificial Intelligence (Q4); Software (Q4)"
194;24258;"Inteligencia Artificial";journal;"11373601";0,115;Q4;13;50;72;1179;5;69;0,07;23,58;Spain;Western Europe;"Asociacion Espanola de Inteligencia Artificial";"2004-2010, 2012-2021";"Artificial Intelligence (Q4); Software (Q4)"
195;19900193685;"International Journal of Knowledge-Based and Intelligent Engineering Systems";journal;"13272314, 18758827";0,115;Q4;20;31;56;811;23;56;0,41;26,16;Netherlands;Western Europe;"IOS Press BV";"2004-2021";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Software (Q4)"
196;21100304244;"1st International North-American Conference on Intelligent Games and Simulation, Game-On 'NA 2005";conference and proceedings;"-";0,114;-;4;0;10;0;6;8;0,60;0,00;Belgium;Western Europe;"";"";"Artificial Intelligence; Human-Computer Interaction; Modeling and Simulation"
197;144653;"Artificial Life and Robotics";journal;"14335298";0,114;Q4;21;34;35;352;20;35;0,57;10,35;Japan;Asiatic Region;"Springer Japan";"2005-2021";"Artificial Intelligence (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)"
198;21100415588;"Proceedings - 2003 International Conference on Geometric Modeling and Graphics, GMAG 2003";conference and proceedings;"-";0,113;-;8;0;32;0;19;31;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computational Theory and Mathematics; Industrial and Manufacturing Engineering; Software"
199;21100266534;"Proceedings of the 9th IASTED International Conference on Artificial Intelligence and Soft Computing, ASC 2005";conference and proceedings;"-";0,113;-;6;0;80;0;14;79;0,18;0,00;Canada;Northern America;"";"";"Artificial Intelligence; Software"
200;21100416603;"SCS 2003 - International Symposium on Signals, Circuits and Systems, Proceedings";conference and proceedings;"-";0,113;-;11;0;170;0;33;167;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Media Technology"
201;21100199718;"AISB'05 Convention: Social Intelligence and Interaction in Animals, Robots and Agents - Proc. of Symp. on Robotics, Mechatronics and Animatronics in the Creative and Entertainment Industries and Arts";conference and proceedings;"-";0,112;-;2;0;12;0;2;10;0,17;0,00;United Kingdom;Western Europe;"";"";"Artificial Intelligence; Electrical and Electronic Engineering; Mechanical Engineering"
202;21100334807;"2nd International Conference on Cybernetics and Information Technologies, Systems and Applications, CITSA 2005, 11th International Conference on Information Systems Analysis and Synthesis, ISAS 2005";conference and proceedings;"-";0,111;-;4;0;119;0;21;116;0,18;0,00;United States;Northern America;"";"";"Artificial Intelligence; Computer Science Applications; Information Systems"
203;21100421878;"Proceedings of the 2nd IEEE International Workshop on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications, IDAACS 2003";conference and proceedings;"-";0,111;-;8;0;112;0;23;110;0,00;0,00;United States;Northern America;"";"";"Computer Science Applications; Software"
