Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
55,21100210905,i-Perception,journal,20416695,0.737,Q2,31,124,1810,185,120,1.13,29.67,United Kingdom,Western Europe,SAGE Publications Ltd,2010-2021,Artificial Intelligence (Q2); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3),2016
56,15703,Knowledge and Information Systems,journal,"02191377, 02193116",0.733,Q2,78,330,4881,966,328,2.79,41.72,United Kingdom,Western Europe,Springer London,2005-2021,Hardware and Architecture (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1); Artificial Intelligence (Q2),2016
57,24825,Pattern Recognition Letters,journal,01678655,0.729,Q2,163,846,9751,2742,819,3.14,32.83,Netherlands,Western Europe,Elsevier,1982-2021,Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Signal Processing (Q2),2016
59,24175,Constraints,journal,"15729354, 13837133",0.72,Q2,46,62,1011,92,55,1.29,33.7,Netherlands,Western Europe,Springer Netherlands,1996-2021,Software (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2),2016
61,12358,International Journal of Fuzzy Systems,journal,"15622479, 21993211",0.682,Q2,47,159,3225,360,158,2.3,32.91,Switzerland,Western Europe,Springer International Publishing AG,2004-2021,Software (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2),2016
62,21100466219,Journal on Data Semantics,journal,"18612040, 18612032",0.678,Q2,17,38,663,69,34,1.81,41.44,Switzerland,Western Europe,Springer International Publishing AG,2012-2021,Computer Networks and Communications (Q1); Artificial Intelligence (Q2); Information Systems (Q2),2016
63,23737,Computational Intelligence,journal,"08247935, 14678640",0.674,Q2,53,82,1024,271,81,1.88,37.93,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2021,Artificial Intelligence (Q2); Computational Mathematics (Q2),2016
64,19900191732,Argument and Computation,journal,"19462166, 19462174",0.667,Q2,21,34,390,77,31,2.91,30.0,United Kingdom,Western Europe,IOS Press,2010-2021,Linguistics and Language (Q1); Artificial Intelligence (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2),2016
67,21100301601,ACM Transactions on Interactive Intelligent Systems,journal,"21606463, 21606455",0.66,Q2,35,70,1682,209,68,3.06,48.06,United States,Northern America,Association for Computing Machinery (ACM),2011-2021,Human-Computer Interaction (Q1); Artificial Intelligence (Q2),2016
68,19700177336,International Journal of Machine Learning and Cybernetics,journal,"1868808X, 18688071",0.659,Q2,49,231,3389,472,229,1.93,38.08,United States,Northern America,Springer Science + Business Media,2010-2021,Computer Vision and Pattern Recognition (Q1); Artificial Intelligence (Q2); Software (Q2),2016
70,21100784665,IEEE Transactions on Cognitive and Developmental Systems,journal,"23798920, 23798939",0.653,Q2,43,79,882,184,74,2.32,51.88,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2021,Artificial Intelligence (Q2); Software (Q2),2016
71,23674,Applied Intelligence,journal,"0924669X, 15737497",0.649,Q2,72,321,4892,753,319,2.34,38.22,Netherlands,Western Europe,Springer Netherlands,1991-2021,Artificial Intelligence (Q2),2016
73,24140,Artificial Intelligence in Medicine,journal,"09333657, 18732860",0.635,Q2,93,173,3003,505,165,2.71,57.75,Netherlands,Western Europe,Elsevier,1989-2021,Artificial Intelligence (Q2); Medicine (miscellaneous) (Q2),2016
74,24360,Journal of Intelligent and Robotic Systems: Theory and Applications,journal,"15730409, 09210296",0.635,Q2,82,508,4804,1413,470,2.6,32.9,Netherlands,Western Europe,Springer Netherlands,1988-2021,Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Mechanical Engineering (Q2); Software (Q2),2016
76,19600166036,International Journal of Artificial Intelligence,journal,09740635,0.629,Q2,28,72,544,124,69,1.98,30.22,India,Asiatic Region,Indian Society for Development and Environment Research,2009-2021,Artificial Intelligence (Q2),2016
77,21100803572,Systems Science and Control Engineering,journal,21642583,0.625,Q2,25,144,1013,260,143,1.66,33.77,United Kingdom,Western Europe,Taylor and Francis Ltd.,2013-2021,Artificial Intelligence (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2),2016
78,130113,Cognitive Processing,journal,"16124782, 16124790",0.622,Q2,46,203,2194,265,199,1.1,59.3,Germany,Western Europe,Springer Verlag,2005-2021,Artificial Intelligence (Q2); Medicine (miscellaneous) (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3),2016
79,24800,Neural Computing and Applications,journal,"09410643, 14333058",0.602,Q2,94,1001,7765,2473,993,2.79,38.06,United Kingdom,Western Europe,Springer London,1993-2021,Artificial Intelligence (Q2); Software (Q2),2016
80,24306,Digital Signal Processing: A Review Journal,journal,"10954333, 10512004",0.598,-,79,539,6108,1475,532,2.79,35.93,United States,Northern America,Elsevier Inc.,1991-2022,Electrical and Electronic Engineering (Q2); Signal Processing (Q2),2016
81,25621,Journal of Parallel and Distributed Computing,journal,"07437315, 10960848",0.597,Q2,92,363,3346,1071,350,2.85,38.91,United States,Northern America,Academic Press Inc.,1984-2022,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2),2016
82,24326,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems",journal,02184885,0.591,Q2,61,179,2020,281,173,1.41,32.06,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Information Systems (Q2); Software (Q2),2016
84,12886,Cognitive Systems Research,journal,13890417,0.587,Q2,56,71,1255,131,67,1.65,44.82,Netherlands,Western Europe,Elsevier,1999-2021,Artificial Intelligence (Q2); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3),2016
85,145544,Journal of Semantics,journal,"01675133, 14774593",0.583,Q2,43,53,820,60,53,0.82,58.57,United Kingdom,Western Europe,Oxford University Press,"1982-1986, 1990-2021",Linguistics and Language (Q1); Artificial Intelligence (Q2); Arts and Humanities (miscellaneous) (Q2),2016
86,19700177025,IEEE Transactions on Computational Intelligence and AI in Games,journal,"1943068X, 19430698",0.582,Q2,0,0,0,0,0,0.0,0.0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2009-2017,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2),2016
90,24361,Journal of Intelligent Information Systems,journal,"15737675, 09259902",0.544,Q2,57,137,1817,280,130,1.57,37.08,Netherlands,Western Europe,Springer Netherlands,1992-2021,Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Information Systems (Q2); Software (Q2),2016
91,24157,Autonomous Agents and Multi-Agent Systems,journal,"15737454, 13872532",0.531,Q2,72,97,1947,234,96,2.29,48.68,Netherlands,Western Europe,Springer Netherlands,1998-2021,Artificial Intelligence (Q2),2016
92,24774,Knowledge Engineering Review,journal,"14698005, 02698889",0.527,Q2,64,81,1835,189,78,1.9,49.59,United Kingdom,Western Europe,Cambridge University Press,"1984, 1987-2021",Artificial Intelligence (Q2); Software (Q2),2016
94,21100367773,IEEE/CAA Journal of Automatica Sinica,journal,"23299266, 23299274",0.516,Q2,52,103,1620,229,98,2.22,24.92,United States,Northern America,IEEE Advancing Technology for Humanity,2014-2021,Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Information Systems (Q2),2016
98,17700156773,Synthesis Lectures on Artificial Intelligence and Machine Learning,book series,"19394616, 19394608",0.495,Q2,26,11,634,46,11,5.0,211.33,United States,Northern America,Morgan and Claypool Publishers,2009-2021,Artificial Intelligence (Q2),2016
99,23678,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",journal,"08900604, 14691760",0.486,Q2,54,108,1018,159,99,1.25,35.1,United Kingdom,Western Europe,Cambridge University Press,1987-2021,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2),2016
102,21100790723,Computability,journal,"22113576, 22113568",0.479,Q2,10,26,341,22,26,0.75,21.31,Netherlands,Western Europe,IOS Press BV,2012-2021,Artificial Intelligence (Q2); Computer Science Applications (Q2); Theoretical Computer Science (Q2); Computational Theory and Mathematics (Q3),2016
103,26801,Computational Linguistics,journal,"08912017, 15309312",0.473,Q2,103,86,1889,499,85,4.85,72.65,United States,Northern America,MIT Press Journals,"1985, 1996-2021",Linguistics and Language (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2),2016
104,9500154152,Intelligent Service Robotics,journal,"18612784, 18612776",0.469,Q2,32,60,835,114,58,1.83,33.4,Germany,Western Europe,Springer Verlag,2008-2021,Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Computational Mechanics (Q2); Mechanical Engineering (Q2),2016
107,12795,Perception,journal,"14684233, 03010066",0.462,Q2,94,354,3951,309,329,0.91,40.32,United States,Northern America,SAGE Publications Inc.,1972-2021,Artificial Intelligence (Q2); Experimental and Cognitive Psychology (Q3); Ophthalmology (Q3); Sensory Systems (Q3),2016
109,23917,Journal of Intelligent and Fuzzy Systems,journal,"18758967, 10641246",0.459,Q2,64,1245,19140,1885,1243,1.49,30.24,Netherlands,Western Europe,IOS Press BV,1993-2021,Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Statistics and Probability (Q3),2016
110,23635,Adaptive Behavior,journal,"17412633, 10597123",0.454,-,54,103,1590,158,94,1.15,53.0,United Kingdom,Western Europe,SAGE Publications Ltd,1992-2021,Experimental and Cognitive Psychology (Q3); Behavioral Neuroscience (Q4),2016
111,4700152208,International Journal of Humanoid Robotics,journal,02198436,0.45,Q2,38,107,1415,157,105,1.11,36.28,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2006-2021,Artificial Intelligence (Q2); Mechanical Engineering (Q2),2016
112,13427,Bulletin of the Polish Academy of Sciences: Technical Sciences,journal,"23001917, 02397528",0.447,Q2,44,321,2044,521,321,1.39,30.06,Poland,Eastern Europe,Polish Academy of Sciences,"1983-1988, 2004-2021","Artificial Intelligence (Q2); Atomic and Molecular Physics, and Optics (Q2); Computer Networks and Communications (Q2); Engineering (miscellaneous) (Q2); Information Systems (Q2)",2016
113,24822,Pattern Analysis and Applications,journal,"1433755X, 14337541",0.441,Q3,58,170,3418,264,170,1.48,42.2,United Kingdom,Western Europe,Springer London,1998-2021,Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3),2016
115,23670,Annals of Mathematics and Artificial Intelligence,journal,"15737470, 10122443",0.438,Q3,56,129,1845,186,117,1.2,36.9,Netherlands,Western Europe,Springer Netherlands,1990-2021,Applied Mathematics (Q3); Artificial Intelligence (Q3),2016
